epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,2543.91,0.95324,1.14141,1.24095,0.7124,0.6179,0.67414,0.46885,1.18217,1.28823,1.35135,0.000111506,0.000111506,0.000111506
39,2609.28,0.95353,1.12569,1.23883,0.72084,0.60971,0.68011,0.46917,1.17224,1.28463,1.34697,0.000103249,0.000103249,0.000103249
40,2674.98,0.94149,1.11729,1.2361,0.73242,0.61627,0.68112,0.46939,1.17248,1.27208,1.33301,9.49926e-05,9.49926e-05,9.49926e-05
41,2741.97,0.93527,0.98537,1.22898,0.71959,0.59313,0.67503,0.47544,1.15466,1.30312,1.31975,8.6736e-05,8.6736e-05,8.6736e-05
42,2805.69,0.91681,0.92237,1.21534,0.76315,0.59796,0.6834,0.47755,1.16993,1.28616,1.33559,7.84794e-05,7.84794e-05,7.84794e-05
43,2868.73,0.90236,0.89564,1.20493,0.71727,0.62337,0.67827,0.47515,1.17161,1.27399,1.33405,7.02228e-05,7.02228e-05,7.02228e-05
44,2932.88,0.89127,0.88962,1.20095,0.71517,0.63197,0.68219,0.47959,1.16318,1.26654,1.33114,6.19662e-05,6.19662e-05,6.19662e-05
45,2996.64,0.88415,0.8644,1.19219,0.73923,0.61378,0.68383,0.48123,1.16179,1.25708,1.32886,5.37096e-05,5.37096e-05,5.37096e-05
46,3060.39,0.87732,0.84597,1.18578,0.7254,0.62671,0.684,0.48499,1.16542,1.26359,1.32927,4.5453e-05,4.5453e-05,4.5453e-05
47,3123.69,0.86625,0.8378,1.17504,0.74891,0.60883,0.67552,0.47954,1.15843,1.27669,1.32514,3.71964e-05,3.71964e-05,3.71964e-05
48,3187.37,0.85515,0.82093,1.17289,0.74628,0.62889,0.68764,0.48528,1.1543,1.26927,1.32486,2.89398e-05,2.89398e-05,2.89398e-05
49,3251.25,0.85304,0.81888,1.16967,0.74848,0.61906,0.69358,0.48995,1.15181,1.26317,1.32295,2.06832e-05,2.06832e-05,2.06832e-05
50,3314.26,0.84736,0.80791,1.16108,0.74764,0.62403,0.69132,0.48727,1.15581,1.25862,1.32665,1.24266e-05,1.24266e-05,1.24266e-05
