epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5198,1.12945,3.1183,1.35768,0.57363,0.52377,0.53521,0.35292,1.20167,1.87427,1.37975,0.000138446,0.000138446,0.000138446
2,141.175,1.19317,2.20407,1.41085,0.60952,0.48228,0.52007,0.32083,1.28217,1.77802,1.44534,0.000271953,0.000271953,0.000271953
3,208.197,1.23209,2.20549,1.45224,0.47664,0.47608,0.43694,0.26995,1.34494,1.916,1.5154,0.000399955,0.000399955,0.000399955
4,275.765,1.24365,2.15518,1.46018,0.46746,0.50054,0.48336,0.28685,1.34386,1.89272,1.51038,0.00039223,0.00039223,0.00039223
5,343.28,1.22329,2.06678,1.44675,0.55123,0.47558,0.51188,0.30803,1.31285,1.73579,1.4775,0.000383974,0.000383974,0.000383974
6,410.705,1.20129,1.98213,1.42731,0.59642,0.4775,0.50893,0.31999,1.28143,1.73543,1.45216,0.000375717,0.000375717,0.000375717
7,477.201,1.1842,1.89551,1.41134,0.51584,0.46177,0.48727,0.29484,1.30534,1.75112,1.47873,0.00036746,0.00036746,0.00036746
8,543.417,1.16431,1.83547,1.40372,0.58747,0.52212,0.56037,0.35608,1.31677,1.6788,1.47513,0.000359204,0.000359204,0.000359204
9,610.182,1.15862,1.77468,1.39238,0.57185,0.5437,0.54443,0.34013,1.28866,1.7007,1.45536,0.000350947,0.000350947,0.000350947
10,676.397,1.13987,1.74332,1.3853,0.64425,0.50581,0.56655,0.36503,1.27423,1.62303,1.4315,0.000342691,0.000342691,0.000342691
11,742.924,1.14094,1.70471,1.38319,0.59801,0.53294,0.57698,0.37093,1.28336,1.59212,1.45489,0.000334434,0.000334434,0.000334434
12,810.574,1.12995,1.66837,1.37854,0.56725,0.54638,0.57282,0.36373,1.30832,1.60323,1.45436,0.000326177,0.000326177,0.000326177
13,877.7,1.13036,1.64728,1.3726,0.70931,0.51675,0.57878,0.37507,1.2573,1.59163,1.42214,0.000317921,0.000317921,0.000317921
14,943.862,1.12376,1.60488,1.3621,0.64632,0.51442,0.57575,0.37291,1.24533,1.61363,1.40749,0.000309664,0.000309664,0.000309664
15,1010.25,1.09897,1.57289,1.35167,0.63262,0.54872,0.59282,0.39308,1.2425,1.53699,1.40369,0.000301408,0.000301408,0.000301408
16,1077.4,1.12009,1.54284,1.35282,0.71157,0.54251,0.61851,0.39861,1.27111,1.49161,1.43504,0.000293151,0.000293151,0.000293151
17,1144.21,1.09161,1.51811,1.34906,0.69203,0.51041,0.59848,0.40436,1.23194,1.4953,1.40273,0.000284894,0.000284894,0.000284894
18,1210.75,1.07267,1.49538,1.33432,0.67152,0.58382,0.63554,0.41979,1.21452,1.44084,1.38537,0.000276638,0.000276638,0.000276638
19,1278.15,1.07113,1.46597,1.32594,0.69664,0.54519,0.61484,0.41243,1.21542,1.43164,1.39491,0.000268381,0.000268381,0.000268381
20,1344.74,1.06937,1.43727,1.32586,0.63855,0.56051,0.61014,0.40903,1.22177,1.45475,1.38302,0.000260125,0.000260125,0.000260125
21,1411.81,1.0553,1.40208,1.31452,0.63402,0.56925,0.62425,0.41959,1.21087,1.45691,1.3784,0.000251868,0.000251868,0.000251868
22,1478.39,1.05293,1.41061,1.316,0.73417,0.53654,0.64314,0.43617,1.21783,1.41474,1.38218,0.000243611,0.000243611,0.000243611
23,1545.24,1.054,1.39817,1.31662,0.70784,0.57251,0.65018,0.43778,1.20989,1.40034,1.36815,0.000235355,0.000235355,0.000235355
24,1611.92,1.04211,1.35897,1.30776,0.70741,0.58085,0.65625,0.43816,1.20339,1.37355,1.38195,0.000227098,0.000227098,0.000227098
25,1679.16,1.04044,1.33589,1.30614,0.71556,0.56972,0.65976,0.44793,1.2088,1.36361,1.36354,0.000218842,0.000218842,0.000218842
26,1746.5,1.01981,1.29344,1.2893,0.67976,0.57813,0.64923,0.43927,1.22369,1.38094,1.38697,0.000210585,0.000210585,0.000210585
27,1813.41,1.02096,1.30691,1.29055,0.7241,0.60008,0.66535,0.45144,1.20267,1.3564,1.3721,0.000202328,0.000202328,0.000202328
28,1879.68,1.0217,1.28898,1.28396,0.75498,0.56492,0.64569,0.44549,1.21024,1.36754,1.38027,0.000194072,0.000194072,0.000194072
29,1946.35,1.00554,1.26422,1.28199,0.70118,0.60306,0.65181,0.44469,1.20594,1.36626,1.36458,0.000185815,0.000185815,0.000185815
30,2012.73,1.00268,1.25854,1.27448,0.73766,0.56316,0.64802,0.43648,1.20391,1.3479,1.36578,0.000177559,0.000177559,0.000177559
31,2079.2,1.00624,1.2379,1.27542,0.73363,0.59012,0.65885,0.44698,1.21224,1.33065,1.36751,0.000169302,0.000169302,0.000169302
32,2146.76,0.99129,1.2228,1.26739,0.70513,0.63597,0.68158,0.46677,1.18449,1.3018,1.35412,0.000161045,0.000161045,0.000161045
33,2213.32,0.98857,1.21336,1.26429,0.73642,0.61171,0.67205,0.4586,1.1893,1.29866,1.35455,0.000152789,0.000152789,0.000152789
34,2279.69,0.97963,1.19105,1.25963,0.76566,0.58989,0.68227,0.46576,1.17937,1.28418,1.35053,0.000144532,0.000144532,0.000144532
35,2346.43,0.97864,1.18209,1.25686,0.72653,0.62668,0.67939,0.46293,1.19206,1.29448,1.35204,0.000136276,0.000136276,0.000136276
36,2411.8,0.96393,1.16176,1.2474,0.72628,0.61672,0.67782,0.46541,1.18212,1.27241,1.33987,0.000128019,0.000128019,0.000128019
37,2478.29,0.95706,1.14856,1.24008,0.76765,0.58895,0.68536,0.47848,1.17644,1.27502,1.34171,0.000119762,0.000119762,0.000119762
